规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-node8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md,,ArkUI_Node*,15,,未确认,P3,中文“定义”与英文“ArkUI”之间、英文“native”与中文“组件”之间均未使用空格，中英文混排格式不一致。,,定义 ArkUI native 组件实例对象指针。,定义ArkUI native组件实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,当前文档第15行已写为“定义 ArkUI Native 组件实例对象指针”，中英文之间已有空格，扫描所引用的原文已不存在（zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:15）。,无需修改；保留 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:15 的现有表述。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-node8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md,,ArkUI_Node*,10,,未确认,P1,该typedef声明末尾缺少C语法要求的分号，直接放入上下文会产生编译错误，不符合代码片段可正常编译且无报错的要求。,,typedef struct ArkUI_Node* ArkUI_NodeHandle;,typedef struct ArkUI_Node* ArkUI_NodeHandle,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,该处是生成式类型参考页中的类型签名展示，不是要求可独立编译的示例；真实声明在 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:121，末尾已有分号。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:10；保留生成页统一的不带分号展示格式。
26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule-arkui-node8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md,,ArkUI_Node*,15,,未确认,P1,ArkUI是鸿蒙专有框架名称。其在标题和HTML注释中的出现均不计入正文，因此该句是ArkUI在正文中的首次有效出现，但未提供“方舟UI框架”这一中文全称，所在句及相邻内容也未给出解释，不符合专有术语首次出现时提供全称的要求。,,定义ArkUI（方舟UI框架）native组件实例对象指针。,定义ArkUI native组件实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkUI 是产品/框架专有名称，当前文档第15行已说明其为 Native 组件实例对象指针，并在第19行链接所属 ArkUI_NativeModule，无需扩写并不存在的缩略语全称（zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:15、19）。,无需修改；保留 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:15 的准确类型说明。
0.30.1.7,检测 Markdown 文件中的Markdown语法规范问题,capi-arkui-nativemodule-arkui-node8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md,,ArkUI_Node*,1,,未确认,P2,标题末尾的星号位于代码块和行内代码之外，且未成对出现。该星号用于表示C语言指针类型而非Markdown强调语法，应进行转义，避免被Markdown解析为强调标记或在不同渲染器中产生显示差异。,,# ArkUI_Node\*,# ArkUI_Node*,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/markdown/SKILL.md,,,,,否,标题中的星号是接口类型 ArkUI_Node* 的 C 指针符号；真实接口声明同样使用 ArkUI_Node*（/home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:121），且未成对星号在 Markdown 中按普通字符显示。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:1；标题应与接口类型名保持一致。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-node8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md,,ArkUI_Node*,10,,未确认,P1,该 typedef 类型声明末尾缺少分号，不符合 C 语言声明语法，作为代码示例无法直接通过编译。,,typedef struct ArkUI_Node* ArkUI_NodeHandle;,typedef struct ArkUI_Node* ArkUI_NodeHandle,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,该处是生成式类型参考页中的类型签名展示；可编译的真实 typedef 位于 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:121，声明末尾已有分号。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-node8h.md:10；不把类型签名展示误判为代码示例。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-floatpropertyhandle.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-floatpropertyhandle.md,,ArkUI_FloatPropertyHandle,10,,未确认,P1,该typedef声明末尾缺少分号，不符合C语言声明语法，会导致代码无法通过编译。,,typedef struct ArkUI_FloatProperty* ArkUI_FloatPropertyHandle;,typedef struct ArkUI_FloatProperty* ArkUI_FloatPropertyHandle,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,该处是生成式类型参考页中的类型签名展示；真实声明在 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_render.h:71，末尾已有分号。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-floatpropertyhandle.md:10；保留同类类型页统一格式。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-drawcontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md,,ArkUI_DrawContext,15,,未确认,P2,该概述仅说明ArkUI_DrawContext是组件绘制上下文类型，没有说明其主要能力、适用的组件绘制场景以及能够发挥的作用，类型级总体描述不完整，读者无法据此了解该类型的具体用途。,,定义组件绘制上下文类型结构，用于在组件自定义绘制场景中获取绘制Canvas和可绘制区域大小，以便在指定区域内进行绘制。,定义组件绘制上下文类型结构。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,当前概述已说明自定义绘制场景、Canvas 和可绘制区域大小（zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:15），并与实现中获取 Canvas、尺寸的接口一致（/home/y/openharmony/foundation/arkui/ace_engine/interfaces/native/node/native_node_extented.cpp:341、345）。,无需因功能完整性补充内容；zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:15 仅针对另一条清晰性问题调整措辞。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-drawcontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md,,ArkUI_DrawContext,15,,未确认,P2,“类型结构”搭配不明确，不能清晰表达ArkUI_DrawContext是组件绘制上下文的结构体类型，影响读者准确理解该类型的含义。,,定义组件绘制上下文的结构体类型。,定义组件绘制上下文类型结构。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:15 原“组件绘制上下文类型结构”修饰关系不清，不能明确表达 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:114 定义的是结构体类型。,已将 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:15 改为“定义组件绘制上下文的结构体类型”，并同步规范 Canvas 前后的空格。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-drawcontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md,,ArkUI_DrawContext,10,,未确认,P1,该C语言typedef声明末尾缺少分号，不符合C语言语法，放入代码上下文后会导致编译错误。,,typedef struct ArkUI_DrawContext ArkUI_DrawContext;,typedef struct ArkUI_DrawContext ArkUI_DrawContext,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,该处是生成式类型参考页中的类型签名展示；真实声明在 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:114，末尾已有分号。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:10；保留生成页统一格式。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-drawcontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md,,ArkUI_DrawContext,10,,未确认,P1,该行是C语言typedef声明，但声明末尾缺少必需的分号，无法作为完整的C语言声明通过编译。,,typedef struct ArkUI_DrawContext ArkUI_DrawContext;,typedef struct ArkUI_DrawContext ArkUI_DrawContext,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,该处并非可独立编译示例；真实 typedef 位于 /home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h:114，声明末尾已有分号。,无需修改 zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-drawcontext.md:10；不把类型签名展示误判为示例代码。
