ID,客户端ID,本地问题ID,批次名,目标版本,领域,文档类型,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,标记,严重程度,Kit名称,是否是问题,原因,修改方案
cmrjhuac706skjfkgh9yumljy,f56eb49f-f753-4482-bb74-e10355810efe,cmrjhuac706skjfkgh9yumljy,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,19.1.1.1,（1）格式正确，如英文单词间无多余的空格、不缺少空格（2）标题的字体、颜色、大小一致（3）行间距一致，段落间距一致（4）标点符号使用正确（如中文段落使用中文标点符号，英文段落使用英文，括号、引号成对出现）,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,27,未确认,,P2,ArkUI,是,文档第27行“**系统能力：**”与SystemCapability之间存在两个空格，不符合相邻API文档和模板使用单个空格的格式。,将文档第27行改为“**系统能力：** SystemCapability.ArkUI.ArkUI.Full”，删除多余空格。
cmrjhrp3806jnjfkgm0in1gn6,f56eb49f-f753-4482-bb74-e10355810efe,cmrjhrp3806jnjfkgm0in1gn6,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,26.1.2.1,对于复杂原理/概念，查看文档是否适当使用图表，辅助内容理解,arkts-apis-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext.md,,,9,未确认,,P2,ArkUI,否,文档第9行已用“调用链跟踪UI上下文→确定UI实例→上下文不明确时接口失败”的连续文字说明因果关系，内容没有三个以上并行分支；ts-template.md的模块介绍也未要求此类概述必须配图。,无需修改，保留文档第9行的文字说明。
cmrjg6h7f04jyjfkg13xs31u3,f56eb49f-f753-4482-bb74-e10355810efe,cmrjg6h7f04jyjfkg13xs31u3,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,arkts-apis-uicontext-framecallback.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-framecallback.md,,Class (FrameCallback),9,未确认,,P2,ArkUI,否,文档第9行说明FrameCallback可在下一帧渲染阶段或空闲阶段执行，第19行说明继承、重写和配合UIContext调用的方式；interface的@ohos.arkui.UIContext.d.ts第3909-3916行也是同一功能范围。,无需修改，保留文档第9行和第19行的功能、场景说明。
cmrjg8zpe04pujfkg2slg6fae,f56eb49f-f753-4482-bb74-e10355810efe,cmrjg8zpe04pujfkg2slg6fae,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,arkts-apis-uicontext-resolveduicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-resolveduicontext.md,,Class (ResolvedUIContext),9,未确认,,P2,ArkUI,是,文档第9行“ResolvedUIContext实例对象。”是缺少谓语的句子，且与后一句“用于表示”割裂，不符合清晰、简洁的表述要求。,合并文档第9行，改为“ResolvedUIContext用于表示……”，形成完整句子。
cmrjg7qnd04nsjfkg3op791gz,f56eb49f-f753-4482-bb74-e10355810efe,cmrjg7qnd04nsjfkg3op791gz,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,arkts-apis-uicontext-resolveduicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-resolveduicontext.md,,Class (ResolvedUIContext),16,未确认,,P2,ArkUI,是,文档第16行称对象“包含UIContext实例”，但interface的@ohos.arkui.UIContext.d.ts第4839-4850行声明ResolvedUIContext继承UIContext且仅新增strategy；ace_engine/jsUIContext.js第1127-1130行实现也调用super(instanceId)并保存strategy。,将文档第16行改为“ResolvedUIContext继承自UIContext，并新增strategy属性用于记录该UIContext实例的解析策略”。
cmrjgt5qa05dojfkgue7vpz7h,f56eb49f-f753-4482-bb74-e10355810efe,cmrjgt5qa05dojfkgue7vpz7h,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,,Class (UIContext),54,未确认,,P1,ArkUI,是,文档第54行windowStage.getMainWindowSync().getUIContext()是独立ArkTS表达式语句，却未以分号结束，与同一示例第40行的语句格式不一致。,在文档第54行getUIContext()调用末尾补充分号。
cmrjgt5q305dmjfkgdrkpx5xk,f56eb49f-f753-4482-bb74-e10355810efe,cmrjgt5q305dmjfkgdrkpx5xk,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,,Class (UIContext),42,未确认,,P1,ArkUI,否,文档第42行是ArkUI声明式语法中Button().onClick()链式调用的闭合位置，不是普通ArkTS表达式语句；同文件组件build代码均按该DSL格式省略分号。,无需修改，保留文档第42行的声明式UI链式调用格式。
cmrjgt5pw05dkjfkg6fk3i7cu,f56eb49f-f753-4482-bb74-e10355810efe,cmrjgt5pw05dkjfkg6fk3i7cu,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,arkts-apis-uicontext-uicontext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uicontext.md,,Class (UIContext),38,未确认,,P1,ArkUI,是,文档第38行this.getUIContext()是独立ArkTS表达式语句，却未以分号结束，与紧邻第40行的变量声明格式不一致。,在文档第38行getUIContext()调用末尾补充分号。
cmrjhhxmh0648jfkgeoep3ne9,f56eb49f-f753-4482-bb74-e10355810efe,cmrjhhxmh0648jfkgeoep3ne9,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,arkts-apis-uicontext-uiobserver.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkts-apis-uicontext-uiobserver.md,,Class (UIObserver),10,未确认,,P2,ArkUI,是,文档第10行对“无感监听”的回调触发机制进行了两次说明：“系统自动触发回调函数”和“事件分发机制会调用已注册的回调函数”语义重复，且概念定义与支持范围、使用场景混在一个长段落中。,重组文档第10行，保留“无感监听”概念并就近说明其含义，合并重复的回调触发机制，同时保留监听范围和使用场景。
cmrjo67640lrkjfkgq8reulgh,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo67640lrkjfkgq8reulgh,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,11.2.1.1,检查是否提供开发者在完成某个场景/任务时，需要了解的模块设计逻辑、方法/函数实现机制（应就近提供，API参考中可提供相关链接）。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,15,未确认,,P2,ArkUI,是,文档第15行只说明通用按键事件能力，未提供使用该能力所需的焦点前提和事件注册方式；ui/ndk-bind-input-events.md第208-244行提供了按键事件前提与注册流程。,在文档第15行增加“绑定基础输入事件”中“按键事件”章节的链接。
cmrjo36y50liajfkg2otgfg5c,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo36y50liajfkg2otgfg5c,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,47,未确认,,P2,ArkUI,是,文档第47行“管理控制焦点转移默认行为，控制焦点激活态”存在“管理控制”动词叠加，且三个用途的并列结构不一致，容易产生歧义。,将文档第47行改为“主动转移焦点、管理焦点转移的默认行为以及控制焦点激活态”。
cmrjo2om40lh3jfkg173z9pfe,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo2om40lh3jfkg173z9pfe,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,11,未确认,,P1,ArkUI,否,文档第11行使用的NDK是OpenHarmony应用开发文档中的通用术语，application-dev/napi/ndk-development-overview.md第9行已有统一定义；native-template.md未要求在每个Native API模块概述中重复展开该术语或添加链接。,无需修改，恢复并保留文档第11行直接使用NDK的表述。
cmrjo1xeg0lfjjfkgo5xsvukg,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo1xeg0lfjjfkgo5xsvukg,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,34,未确认,,P2,ArkUI,是,文档第34行文件名写为node_attr_custom.h，但interface实际文件sdk_c/arkui/ace_engine/native/node_attributes/custom_attributes.h第26行声明的文件名是custom_attributes.h，链接目标文档第1行标题也为custom_attributes.h；Readme-CN.md第705行同样沿用了错误名称。,将文档第34行及Readme-CN.md第705行的链接文字由node_attr_custom.h改为custom_attributes.h，链接目标和描述保持不变。
cmrjo1wdj0lfbjfkghzxcm6ql,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo1wdj0lfbjfkghzxcm6ql,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,0.30.1.3,检测 Markdown 文件中常识性错误检查,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,34,未确认,,P1,ArkUI,是,文档第34行把不存在的node_attr_custom.h列入文件汇总，与interface中实际头文件custom_attributes.h不符；Readme-CN.md第705行也使用了同一错误文件名。,将文档第34行和Readme-CN.md第705行的文件名同步修正为custom_attributes.h。
cmrjo1kkz0lewjfkgwmi30vsf,f56eb49f-f753-4482-bb74-e10355810efe,cmrjo1kkz0lewjfkgwmi30vsf,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,27.1.1.2,检查语言无模糊、晦涩抽象或者有歧义的表达。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,47,未确认,,P2,ArkUI,是,文档第47行“管理控制焦点转移默认行为”既可理解为“管理控制”，也可理解为“管理默认行为”，表达晦涩；interface对应英文语义是管理默认焦点转移行为。,将文档第47行拆分为三个无歧义的并列用途：“主动转移焦点、管理焦点转移的默认行为以及控制焦点激活态”。
cmrjjmjvj09ngjfkgk2t03fsj,f56eb49f-f753-4482-bb74-e10355810efe,cmrjjmjvj09ngjfkgk2t03fsj,071_pipeline-r3,OpenHarmony 7.0,ArkUI开发框架,api_reference,12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,capi-arkui-nativemodule-arkui-activechildreninfo.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-activechildreninfo.md,,ArkUI_ActiveChildrenInfo,28,未确认,,P2,ArkUI,否,文档第15行已说明实例由OH_ArkUI_NodeUtils_GetActiveChildrenInfo生成且使用后必须销毁；第28行链接的capi-native-type-h.md第2516-2536行给出handle参数和返回数量，不存在缺失的前置操作。,无需修改，保留文档第15行的统一前提说明和第28行的相关接口描述。
