规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,11,,未确认,P2,概述章节仅列举了模块提供的拖拽、按键事件、手势回调、动画回调和UI操作等能力，没有从模块整体角度说明这些能力适用于什么场景、能够解决什么问题以及带来什么收益，导致模块级功能和用法说明不完整。,,ArkUI_NativeModule提供ArkUI在Native侧的通用拖拽及主动发起拖拽、按键事件、手势回调、动画回调，以及UI组件创建销毁、树节点操作、属性设置和事件监听等能力，适用于需要在Native侧处理交互事件、执行动画和操作UI组件的场景，便于开发者通过Native接口实现相关UI功能。更多详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)、[绑定手势事件](../../ui/ndk-bind-gesture-events.md)、[使用动画](../../ui/ndk-use-animation.md)和[接入ArkTS页面](../../ui/ndk-access-the-arkts-page.md)。,提供ArkUI在Native侧的通用拖拽及主动发起拖拽能力。更多详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,当前文档capi-arkui-nativemodule.md第11行已补充Native侧页面交互的整体能力，以及使用NDK构建UI、处理输入事件、绑定手势、执行动画和管理节点树等适用场景，符合native-template.md第14-18行对模块作用、主要功能和使用场景的要求。,无需修改；保留capi-arkui-nativemodule.md第11行现有模块总述。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,52,,未确认,P2,“文本公共的枚举和接口”修饰关系不清，容易被理解为“文本是公共的”，未准确表达这些枚举和接口是文本相关的公共定义。,,| [text_common.h](capi-text-common-h.md) | 定义一组文本相关的公共枚举和接口。 |,| [text_common.h](capi-text-common-h.md) | 定义一组文本公共的枚举和接口。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,非本组，不修改。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,49,,未确认,P2,“FrameNode转换NodeHandle”缺少表示转换方向的“为”，未明确说明是将FrameNode转换为NodeHandle，修饰关系和转换方向不够清晰。,,| [native_node_napi.h](capi-native-node-napi-h.md) | 提供将ArkTS侧的FrameNode转换为NodeHandle的方式。 |,| [native_node_napi.h](capi-native-node-napi-h.md) | 提供ArkTS侧的FrameNode转换NodeHandle的方式。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,当前capi-arkui-nativemodule.md第51行已写明“将ArkTS侧的FrameNode转换为ArkUI_NodeHandle”，转换方向和目标类型均清楚，并与interface/sdk_c/arkui/ace_engine/native/native_node_napi.h第29-30行声明用途一致。,无需修改；保留capi-arkui-nativemodule.md第51行现有表述。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,45,,未确认,P2,“管理控制焦点转移默认行为”存在“管理”和“控制”的语义堆叠，且各项用途之间的并列关系不清晰，不利于读者准确区分接口用途。,,| [native_interface_focus.h](capi-native-interface-focus-h.md) | 定义焦点管理相关接口，主要用于主动转移焦点、管理焦点转移的默认行为，以及控制焦点激活态。 |,| [native_interface_focus.h](capi-native-interface-focus-h.md) | 定义焦点管理的相关接口，主要用于主动转移焦点或管理控制焦点转移默认行为，控制焦点激活态。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,非本组，不修改。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,19,,未确认,P2,“UI组件创建销毁”未使用顿号分隔两项并列操作，影响功能范围的清晰表达；“更多详细介绍”还存在语义重叠。,,提供ArkUI在Native侧的UI能力，如UI组件创建、销毁、树节点操作、属性设置、事件监听等。详细介绍请参考[接入ArkTS页面](../../ui/ndk-access-the-arkts-page.md)。,提供ArkUI在Native侧的UI能力，如UI组件创建销毁、树节点操作、属性设置、事件监听等。更多详细介绍请参考[接入ArkTS页面](../../ui/ndk-access-the-arkts-page.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,capi-arkui-nativemodule.md原第21行“UI组件创建销毁”缺少并列标点，“更多详细介绍”语义重复；interface/sdk_c/arkui/ace_engine/native/native_interface.h第20-21行将创建和销毁列为两项操作。,将capi-arkui-nativemodule.md第21行改为“UI组件创建、销毁”，并将“更多详细介绍”精简为“详细介绍”。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,17,,未确认,P3,“更多详细介绍”中“更多”和“详细”语义重叠，可以在不损失信息的情况下精简。,,提供ArkUI在Native侧使用动画回调的能力。详细介绍请参考[使用动画](../../ui/ndk-use-animation.md)。,提供ArkUI在Native侧使用动画回调的能力。更多详细介绍请参考[使用动画](../../ui/ndk-use-animation.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,capi-arkui-nativemodule.md原第19行“更多详细介绍”中“更多”和“详细”语义重复，不符合README-template.md第32行的内容简洁要求。,将capi-arkui-nativemodule.md第19行的“更多详细介绍”修改为“详细介绍”。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,15,,未确认,P3,“在Native侧的注册手势回调的能力”存在不必要的结构助词，“更多详细介绍”也存在语义重叠，表述不够简洁。,,提供ArkUI在Native侧注册手势回调的能力。详细介绍请参考[绑定手势事件](../../ui/ndk-bind-gesture-events.md)。,提供ArkUI在Native侧的注册手势回调的能力。更多详细介绍请参考[绑定手势事件](../../ui/ndk-bind-gesture-events.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,capi-arkui-nativemodule.md原第17行“在Native侧的注册手势回调的能力”多用了结构助词“的”，且“更多详细介绍”语义重复；interface/sdk_c/arkui/ace_engine/native/native_gesture.h第20行直接表述为在Native侧注册手势回调。,将capi-arkui-nativemodule.md第17行改为“在Native侧注册手势回调的能力”，并将“更多详细介绍”精简为“详细介绍”。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,11,,未确认,P3,“更多详细介绍”中“更多”和“详细”语义重叠，表述不够简洁。,,提供ArkUI在Native侧的通用拖拽及主动发起拖拽能力。详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)。,提供ArkUI在Native侧的通用拖拽及主动发起拖拽能力。更多详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,capi-arkui-nativemodule.md原第13行“更多详细介绍”中“更多”和“详细”语义重复，不符合README-template.md第32行的内容简洁要求。,将capi-arkui-nativemodule.md第13行的“更多详细介绍”修改为“详细介绍”。
26.1.1.1,检查文档中出现的术语、缩略语或专有名词，是否提供术语表进行解释说明，首次出现的术语、缩略语，是否提供全称，是否提供到术语表链接，IP、MAC等行业通用术语/缩略语除外。,capi-arkui-nativemodule.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule.md,,ArkUI_NativeModule,11,,未确认,P1,ArkUI是鸿蒙体系专有的框架名称，也是当前文档的核心主题词。第1行标题不属于正文，第2行位于HTML注释中而被明确排除，因此第11行是ArkUI在正文中的首次有效出现。该处未提供“方舟UI框架”等中文全称，所在句及相邻句也未解释其含义，不符合系统专有名词首次出现时应提供全称或说明的要求。,,提供ArkUI（方舟UI框架）在Native侧的通用拖拽及主动发起拖拽能力。更多详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)。,提供ArkUI在Native侧的通用拖拽及主动发起拖拽能力。更多详细介绍请参考[绑定拖拽事件](../../ui/ndk-drag-event.md)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/26_1_1_1.md,体验,内容清晰性,原理描述清晰性,验证文档中出现的术语、缩略语或专有名词都有对应解释,否,ArkUI是zh-cn/glossary.md第21行收录的正式术语，不是必须在每篇C API文档首次出现时展开的缩略语；且扫描建议使用“方舟UI框架”，与术语表中的“方舟开发框架”不一致。,无需修改；保留capi-arkui-nativemodule.md第11行的正式术语“ArkUI”。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-circleshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-circleshapeoption.md,,ArkUI_CircleShapeOption,10,,未确认,P1,该C语言typedef声明末尾缺少必需的分号，放入上下文编译时会产生语法错误，不符合示例代码应可正常编译且无报错和告警的要求。,,typedef struct ArkUI_CircleShape ArkUI_CircleShapeOption;,typedef struct ArkUI_CircleShape ArkUI_CircleShapeOption,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,capi-arkui-nativemodule-arkui-circleshapeoption.md第10行是生成式C API文档中的类型签名，不是可直接编译的完整代码示例；同目录214处同类typedef签名均不带分号，真实声明在interface/sdk_c/arkui/ace_engine/native/native_render.h第148行且已带分号。,无需修改文档签名；保留第10行生成格式，实际语法以native_render.h第148行声明为准。
