ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramc6js0qx9h67bq7mpf3x2,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,155,未确认,P2,ArkUI,,,“使得”可精简为“使”；链接文本与“接口”之间、以及“RenderNode”与中文之间缺少空格。该判断不针对链接地址本身。,,先通过 [OH_ArkUI_NativeModule_AdoptChild](./capi-native-node-h.md#oh_arkui_nativemodule_adoptchild) 接口使当前节点被其他节点接纳，然后再获取其 RenderNode。,先通过[OH_ArkUI_NativeModule_AdoptChild](./capi-native-node-h.md#oh_arkui_nativemodule_adoptchild)接口使得当前节点被其他节点接纳，然后再获取其RenderNode。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:155 中链接文本与“接口”之间、RenderNode 与中文之间缺少空格，且“使得”表述冗余；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:155 已修正该句。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:155 修改为“先通过 [OH_ArkUI_NativeModule_AdoptChild](./capi-native-node-h.md#oh_arkui_nativemodule_adoptchild) 接口使当前节点被其他节点接纳，然后再获取其 RenderNode。”
cmramc6jl0qx8h67bwd376c55,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,151,未确认,P3,ArkUI,,,“RenderNode”与中文之间缺少空格，不符合中英文混排格式一致性要求。,,该节点未被接纳，不能获取其 RenderNode。,该节点未被接纳，不能获取其RenderNode。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:151 中“其RenderNode”缺少中文与英文术语之间的空格；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:151 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:151 修改为“该节点未被接纳，不能获取其 RenderNode。”
cmramc6jb0qx7h67bnpnhkvku,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,147,未确认,P3,ArkUI,,,“RenderNode”与中文之间缺少空格，不符合中英文混排格式一致性要求。,,该节点未被接纳，不能获取其 RenderNode。,该节点未被接纳，不能获取其RenderNode。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:147 中“其RenderNode”缺少中文与英文术语之间的空格；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:147 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:147 修改为“该节点未被接纳，不能获取其 RenderNode。”
cmramc6j20qx6h67blxmu90e5,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,137,未确认,P3,ArkUI,,,“RenderNode”与中文之间缺少空格，不符合中英文混排格式一致性要求。,,当一个被接纳的节点被取消接纳时，应该释放从该节点获取的 RenderNode。,当一个被接纳的节点被取消接纳时，应该释放从该节点获取的RenderNode。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:137 中“获取的RenderNode”缺少空格，且“应该释放”是建议式表述；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:137 已改为直接处理步骤。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:137 修改为“当一个被接纳的节点被取消接纳时，释放从该节点获取的 RenderNode。”
cmramc6it0qx5h67buyby62ig,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,133,未确认,P2,ArkUI,,,“FrameNode”“RenderNode”与中文之间缺少空格；“在……之后”“一个”“这个”“了”等表达使句子冗余，可在不改变原意的前提下精简。,,从被接纳的 FrameNode 上获取 RenderNode 后，该 FrameNode 被取消接纳或者析构。,在从一个被接纳的FrameNode上获取了RenderNode之后，这个被接纳的FrameNode被取消接纳或者析构了。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:133 中 FrameNode、RenderNode 与中文之间缺少空格，且“在从一个...之后，这个...了”表述冗余；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:133 已精简。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:133 修改为“从被接纳的 FrameNode 上获取 RenderNode 后，该 FrameNode 被取消接纳或者析构。”
cmramc6il0qx4h67bwmiut9p3,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,129,未确认,P2,ArkUI,,,“RenderNode”“FrameNode”与中文之间缺少空格；“获取得到”语义重复；“或是”可精简为“或”。,,该 RenderNode 是从 FrameNode 获取的，其对应的 FrameNode 已经被取消接纳或销毁。,该RenderNode是从FrameNode获取得到的，其对应的FrameNode已经被取消接纳或是销毁。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:129 中 RenderNode、FrameNode 与中文之间缺少空格，“获取得到”和“或是”表述冗余；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:129 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:129 修改为“该 RenderNode 是从 FrameNode 获取的，其对应的 FrameNode 已经被取消接纳或销毁。”
cmramc6ie0qx3h67bq4b0fhjg,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,115,未确认,P2,ArkUI,,,“RenderNode”“FrameNode”与中文之间缺少空格；“获取得到”语义重复；“除了……，不……”可精简为“除……外，不……”。,,该 RenderNode 是从 FrameNode 获取的，除作为子节点上下树外，不允许其他操作。,该RenderNode是从FrameNode获取得到的，除了作为子节点上下树，不允许其他操作。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:115 中 RenderNode、FrameNode 与中文之间缺少空格，“获取得到”和“除了……，不……”表述冗余；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:115 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:115 修改为“该 RenderNode 是从 FrameNode 获取的，除作为子节点上下树外，不允许其他操作。”
cmramc6i50qx2h67bu5tdwcvi,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,111,未确认,P2,ArkUI,,,“RenderNode”“FrameNode”与中文之间缺少空格；“获取得到”语义重复，可精简为“获取的”。,,该 RenderNode 是从 FrameNode 获取的，此类节点不允许执行当前操作。,该RenderNode是从FrameNode获取得到的，此类节点不允许执行当前操作。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:111 中 RenderNode、FrameNode 与中文之间缺少空格，且“获取得到”语义重复；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:111 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:111 修改为“该 RenderNode 是从 FrameNode 获取的，此类节点不允许执行当前操作。”
cmramc6hw0qx1h67b5bvaphhp,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,83,未确认,P2,ArkUI,,,“对应指针对应的”出现重复表达，且“对应指针”指代不够自然，宜精简为“该指针对应的”。,,排查传入的下标是否超出节点范围，或该指针对应的渲染节点是否存在子节点。,排查传入的下标是否超出节点范围，或对应指针对应的渲染节点是否存在子节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:83 中“对应指针对应的”重复，指代不清；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:83 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:83 修改为“排查传入的下标是否超出节点范围，或该指针对应的渲染节点是否存在子节点。”
cmramc6hl0qx0h67bqf4d2y1r,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,errorcode-node-render.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md,,,79,未确认,P2,ArkUI,,,原句中英文标识符与中文之间缺少空格；“所对应的”属于冗余表述，可精简为“对应的”。,,开发者传入的 ArkUI_RenderNodeHandle 指针对应的渲染节点无法查询到对应下标的子节点。,开发者传入的ArkUI_RenderNodeHandle指针所对应的渲染节点无法查询到对应下标的子节点。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,是,原zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:79 中 ArkUI_RenderNodeHandle 与中文之间缺少空格，且“指针所对应的”表述冗余；当前zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:79 已修正。,将zh-cn/application-dev/reference/apis-arkui/errorcode-node-render.md:79 修改为“开发者传入的 ArkUI_RenderNodeHandle 指针对应的渲染节点无法查询到对应下标的子节点。”
