ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramcahq0rchh67b3aeu0jj3,12.1.1.2,检查文档中清楚地说明了使用场景。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,terminate,App,157,未确认,P2,ArkUI,,,该方法说明仅描述了 terminate 退出当前 Ability 的功能，以及 Stage 模型下不生效的限制，未说明在哪些应用功能或场景下需要调用该接口，未满足方法说明应清楚说明使用场景的要求。,,退出当前Ability，可用于应用需要主动关闭当前Ability的场景。在Stage模型下接口功能不生效。,退出当前Ability。在Stage模型下接口功能不生效。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,非本组,无需修改
cmramcahh0rcgh67bhses8o2j,12.1.1.2,检查文档中清楚地说明了使用场景。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,getInfo,App,27,未确认,P2,ArkUI,,,该方法说明仅描述了 getInfo 获取当前应用配置文件声明信息的功能，以及 Stage 模型下的返回限制，未在方法说明中清楚说明该接口适用于哪些应用功能或业务场景，属于只说明“做什么”但缺少使用场景。,,获取当前应用配置文件中声明的信息，可用于读取并展示应用名称、版本名称、版本号等应用基础信息的场景。在Stage模型下接口返回值为null。,获取当前应用配置文件中声明的信息。在Stage模型下接口返回值为null。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,非本组,无需修改
cmramcahy0rcih67b8qk6h5o1,11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,,,1,未确认,P2,ArkUI,,,文档开头只有模块标题，标题后未提供模块级概述段落，缺少对@system.app模块整体能力、典型使用场景以及可解决问题或带来收益的总体说明。该问题属于规则检查范围中的“文档开头标题后的概述段落”和“模块整体的能力、特点、收益说明”。,,"# @system.app (应用上下文)

@system.app模块提供应用上下文相关能力，支持获取当前应用配置文件中声明的信息、退出当前Ability，以及配置图片缓存等，适用于需要读取应用基础信息、控制应用退出或优化图片加载缓存的场景。",# @system.app (应用上下文),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,非本组,无需修改
cmramca9k0rblh67b7jk7qwg8,18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,getInfo,App,29,未确认,P3,ArkUI,,,“API version9”中“version”和数字之间缺少空格；同一文档其他位置使用“API version 7”“API version 12”等格式，前后格式不一致，不符合格式风格统一要求。,,从API version 9开始，推荐使用[bundleManager.getBundleInfoForSelf](../apis-ability-kit/js-apis-bundleManager.md#bundlemanagergetbundleinfoforself)。,从API version9开始，推荐使用[bundleManager.getBundleInfoForSelf](../apis-ability-kit/js-apis-bundleManager.md#bundlemanagergetbundleinfoforself)。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,无需修改
cmramcac90rbwh67bn06k583g,12.3.1.2,检查文档中是否说明返回值的用途。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,getInfo,App,39,未确认,P2,ArkUI,,,该行位于getInfo接口的返回值说明表中，但说明内容仅重复AppResponse类型定义，没有说明该返回对象在该接口中的用途或其代表的具体信息。虽然上下文和AppResponse结构定义可辅助推断含义，但返回值说明本身未提供足够信息，违反“对象类型返回值应说明该对象的用途，不能只写类型名”的要求。,,| [AppResponse](#appresponse) | 返回当前应用配置文件中声明的信息，包括应用包名、应用名称、版本名称和版本号；在Stage模型下返回null。 |,| [AppResponse](#appresponse) | 定义AppResponse信息。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_3_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证返回值及其含义应说明完整,否,非本组,无需修改
cmramca800rbeh67bvb8v7p8x,23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,terminate,App,169,未确认,P2,ArkUI,,,该 ArkTS 示例中仅调用 app.terminate()，未使用导入的 AppResponse 类型。示例代码放入 IDE 后可能产生未使用导入告警，不符合示例代码应无报错、无告警的要求。,,import app from '@system.app';,"import app, { AppResponse } from '@system.app';",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,非本组,无需修改
cmramca6o0rb9h67bp4071vlt,24.2.1.1,示例代码片段中不应存在实际未使用到的冗余代码（包含冗余导包），即代码拷贝至IDE中无灰色未使用代码。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,terminate,App,169,未确认,P1,ArkUI,,,该 TypeScript 示例代码块为独立示例，块内仅通过默认导入 app 调用 app.terminate()，未在类型注解、泛型、断言、调用或其他代码位置引用 AppResponse。AppResponse 与 terminate 接口调用无关，属于冗余导入，应删除。,,import app from '@system.app';,"import app, { AppResponse } from '@system.app';",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/24_2_1_1.md,体验,示例代码可用实用,示例代码实用性,验证示例代码片段中不存在冗余代码,否,非本组,无需修改
cmramca6h0rb8h67b2s293ag1,24.4.1.1,检查指南中示例代码包含异常处理逻辑（可以使用注释、打印日志说明处理逻辑），API参考的示例代码中无需添加异常处理逻辑，最佳实践中每个异常需要真实的处理逻辑。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,terminate,App,236,未确认,P2,ArkUI,,,该文档属于 API 参考文档，示例代码不强制要求补充异常捕获；但该代码块已经写了 catch 异常处理，因此异常日志输出仍需符合规范。当前日志虽然使用了 console.error()，但使用单引号和字符串拼接，未使用模板字符串；同时仅输出 error.message，未同时包含 code 和 message 参数，违反异常日志输出规范。,,"console.error(`app.terminate failed. Code: ${error.code}, message: ${error.message}`);",console.error('app.terminate failed: ' + error.message);,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/24_4_1_1.md,体验,示例代码可用实用,示例代码实用性,验证示例代码提供必要的异常处理逻辑,否,非本组,无需修改
cmramca690rb7h67bzx6290sv,24.4.1.1,检查指南中示例代码包含异常处理逻辑（可以使用注释、打印日志说明处理逻辑），API参考的示例代码中无需添加异常处理逻辑，最佳实践中每个异常需要真实的处理逻辑。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,getInfo,App,145,未确认,P2,ArkUI,,,该文档属于 API 参考文档，示例代码不强制要求补充异常捕获；但该代码块已经写了 catch 异常处理，因此异常日志输出仍需符合规范。当前日志虽然使用了 console.error()，但使用单引号和字符串拼接，未使用模板字符串；同时仅输出 error.message，未同时包含 code 和 message 参数，违反异常日志输出规范。,,"console.error(`app.getInfo failed. Code: ${error.code}, message: ${error.message}`);",console.error('app.getInfo failed: ' + error.message);,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/24_4_1_1.md,体验,示例代码可用实用,示例代码实用性,验证示例代码提供必要的异常处理逻辑,否,非本组,无需修改
cmramca4r0rb1h67bkf7p93cz,25.5.1.1,检查示例代码中自定义的变量、接口、类等命名，遵循编码规范，可直接从命名了解其作用与功能。,js-apis-system-app.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-system-app.md,terminate,App,170,未确认,P2,ArkUI,,,该句位于示例代码块内，`TerM` 是文档自定义类名。类名虽以大写开头，但大小写拆分不符合 UpperCamelCase 的常规单词边界，且命名不能清晰表达该类用于 terminate 示例；建议改为能体现用途的 `TerminateExample`。,,export default class TerminateExample {,export default class TerM {,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_5_1_1.md,体验,示例代码可用实用,示例代码规范性,验证示例代码片段中参数命名符合规范,否,非本组,无需修改
