ID,规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,问题状态,严重程度,Kit名称,开发责任人,测试责任人,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
cmramc13i0qbzh67bqll2rmbi,12.1.2.3,若方法/函数需要在满足某些条件才生效，或不生效，检查文档中关于生效机制描述是否完整。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,21,未确认,P2,ArkUI,,,文档第15行已明确说明“本模块接口仅可在Stage模型下使用”，这是接口使用的前置条件。customProperty 是该文档中的具体接口，但其接口说明仅描述功能，未在接口条目内同步说明该 Stage 模型限制；属于“上下文有说明，本方法未提及”的生效/使用条件传递不完整问题。,,设置组件的自定义属性。本接口仅可在Stage模型下使用。,设置组件的自定义属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,interface/sdk-js/api/@internal/component/ets/common.d.ts:19598-19602 中 customProperty 标记为 @stagemodelonly；文档原第21行仅写“设置组件的自定义属性。”，且接口条目内没有按 ArkUI TS 惯例设置独立的模型约束字段。,已修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:29，参考 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-image-common.md:34 的格式，在原子化服务API之后、系统能力之前新增“**模型约束：** 此接口仅可在Stage模型下使用。”。
cmramc1380qbyh67bo0qt8jqp,12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,21,未确认,P2,ArkUI,,,文档第15行已说明“本模块接口仅可在Stage模型下使用”，属于特定模式环境要求；但customProperty方法自身说明仅描述功能，未在方法描述处传递Stage模型限制。开发者如果直接查看该方法条目，可能遗漏该接口的使用环境要求。,,设置组件的自定义属性，该接口仅可在Stage模型下使用。,设置组件的自定义属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,interface/sdk-js/api/@internal/component/ets/common.d.ts:19598-19602 明确该接口为 @stagemodelonly；文档原第21行接口描述没有按同类文档格式说明使用环境要求。,已修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:29，以独立字段补充“**模型约束：** 此接口仅可在Stage模型下使用。”，位置在原子化服务API之后、系统能力之前。
cmramc12y0qbxh67bb7wp9sn8,12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,21,未确认,P2,ArkUI,,,文档第15行已说明“本模块接口仅可在Stage模型下使用”，这是使用该接口时已有上下文明确给出的模型限制；但customProperty接口自身的功能说明仅写“设置组件的自定义属性”，未同步说明该前提。读者若只查看接口条目，可能遗漏Stage模型限制。该问题不属于同类方法信息不对称，而属于上下文已有说明但方法自身未提及。,,设置组件的自定义属性。本接口仅可在Stage模型下使用。,设置组件的自定义属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_5.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,是,文档第15行说明本模块接口仅可在Stage模型下使用，且 interface/sdk-js/api/@internal/component/ets/common.d.ts:19598-19602 也将 customProperty 标记为 @stagemodelonly；原接口条目缺少独立模型约束字段。,已修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:29，参考 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:29 的字段格式新增“**模型约束：** 此接口仅可在Stage模型下使用。”。
cmramc12q0qbwh67bh5vrkumq,12.2.1.1,检查文档中关于参数的含义/功能等信息描述是否完整，例如有些方法/函数需要开发者了解具体采用的数据格式，则应给出数据格式说明。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,36,未确认,P1,ArkUI,,,参数'value'的说明仅说明其表示自定义属性的值，未说明该值会被设置到组件对应的FrameNode上，也未在参数说明列中说明Optional<Object>允许传入Object或undefined。该参数为复杂/可选类型，且表格中“必填”为“是”，如果说明列不补充undefined的含义，容易让开发者不清楚undefined是否为有效传值。,,| value  | [Optional](#optionalt)\<Object> | 是   | 自定义属性的值，用于设置到组件对应的FrameNode上；取值可以是Object类型数据或undefined。 |,| value  | [Optional](#optionalt)\<Object> | 是   | 自定义属性的值。 |,https://gitcode.com/BeicC/docs-prompt/blob/master/wait-for-confirm/parameter_description_completeness_check.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证参数的含义/功能、使用场景、使用后效果提供完整,是,interface/sdk-js/api/@internal/component/ets/common.d.ts:19595-19596 声明 value 为 Optional<Object>，common.d.ts:19296-19308 定义 Optional<T> 为 T | undefined；interface/sdk-js/api/arkui/FrameNode.d.ts:981-991 说明可通过 FrameNode.getCustomProperty 获取 Object | undefined，文档原第36行仅写“自定义属性的值。”信息不足。,已修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:36，说明 value 会设置到组件对应的 FrameNode 上，取值可以是 Object 类型数据或 undefined。
cmramc12i0qbvh67b70e7eo2y,12.3.1.2,检查文档中是否说明返回值的用途。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,42,未确认,P2,ArkUI,,,该返回值说明仅说明返回的是当前组件，未进一步说明返回值用途。对于返回类型为 T 的组件属性接口，返回当前组件通常用于继续调用其他属性或方法；原说明缺少“可用于链式调用”等用途信息，不满足返回值说明需提供超出方法名/方法说明信息量的要求。,,| T | 返回当前组件，可用于链式调用。 |,| T | 返回当前组件。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_3_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证返回值及其含义应说明完整,是,interface/sdk-js/api/@internal/component/ets/common.d.ts:19597-19604 声明 customProperty 返回 T，JSDoc 说明为 Current component；文档原第42行只说明“返回当前组件”，未说明返回值可继续用于组件属性链式调用。,已修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:44，补充“可用于链式调用”。
cmramc11l0qbrh67b7xk0qngc,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,Optional\<T>,,180,未确认,P1,ArkUI,,,该行是 ArkTS 示例代码中的函数调用表达式语句，应以分号结尾；原文末尾缺少分号。,,this.builder();,this.builder(),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,同类自定义布局示例 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:513-514 也使用 this.builder() 且不以分号结尾；当前文档第179行保持一致写法，不构成需修复问题。,无需修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:179，保留 this.builder()。
cmramc11d0qbqh67bu61wpksn,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,Optional\<T>,,176,未确认,P1,ArkUI,,,该行是 children.forEach(...) 调用表达式的结束行，作为 ArkTS 示例代码中的表达式语句应以分号结尾；原文回调闭包结束后缺少分号。,,});,}),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,同类示例 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:491-499 中 children.forEach(...) 结束行同样写作 }) 且无分号；当前文档第161行与既有示例风格一致。,无需修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:161，保留 })。
cmramc1150qbph67bkuwxcl4y,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,Optional\<T>,,175,未确认,P1,ArkUI,,,该行是 ArkTS 示例代码中的函数调用表达式语句，应以分号结尾；原文末尾缺少分号。,,"child.layout({ x: pos, y: pos });","child.layout({ x: pos, y: pos })",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,"同类示例 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:507-510 中 child.layout({ x: pos, y: pos }) 也不以分号结尾；当前文档第174行与既有 ArkTS 示例一致。","无需修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:174，保留 child.layout({ x: pos, y: pos })。"
cmramc10y0qboh67brshvbl9a,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,Optional\<T>,,162,未确认,P1,ArkUI,,,该行是 children.forEach(...) 调用表达式的结束行，作为 ArkTS 示例代码中的表达式语句应以分号结尾；原文回调闭包结束后缺少分号。,,});,}),https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,同类示例 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:491-499 中 measure 阶段的 children.forEach(...) 结束行同样无分号；当前文档第161行不是问题。,无需修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:161，保留 })。
cmramc10q0qbnh67bf4x6k75a,25.2.1.1,样例代码格式符合规范、风格总体一致（例如大括号位置、单双引号、是否有分号等）。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,Optional\<T>,,160,未确认,P1,ArkUI,,,该行是 ArkTS 示例代码中的变量声明赋值语句，属于表达式语句，应以分号结尾；原文末尾缺少分号。,,"let result: MeasureResult = child.measure({ minHeight: size, minWidth: size, maxWidth: size, maxHeight: size });","let result: MeasureResult = child.measure({ minHeight: size, minWidth: size, maxWidth: size, maxHeight: size })",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/25_2_1_1.md,体验,示例代码可用实用,示例代码规范性,验收示例代码风格统一、规范,否,同类示例 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-custom-component-layout.md:492-497 中 let result: MeasureResult = child.measure(...) 也不以分号结尾；当前文档第159行与既有示例风格一致。,无需修改 zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md:159，保留当前语句。
