规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-nodecontentevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontentevent.md,,ArkUI_NodeContentEvent,15,,未确认,P2,该概述仅说明ArkUI_NodeContentEvent是一个通用结构类型，未明确其用于表示NodeContent事件，整体用途描述不完整，用户难以从概述中直接了解该类型的作用。,,定义用于表示NodeContent事件的通用结构类型。,定义NodeContent事件的通用结构类型。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,文档第15行已说明该类型作为NodeContent事件回调参数，并用于获取事件类型和触发事件的NodeContent对象；interface/native_node.h第13607行和第13616行分别提供对应获取接口，功能描述完整。,无需修改文档，保留第15行现有概述。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodecontentevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontentevent.md,,ArkUI_NodeContentEvent,10,,未确认,P2,该typedef声明末尾缺少C语言语法要求的分号，放入C语言上下文后会产生编译错误，不符合示例代码片段可正常编译且无报错的要求。,,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent;,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第10行是生成器展示的类型声明签名，不是独立示例代码；interface/native_node.h第13580行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_node.h第13580行为准。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodecontentevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontentevent.md,,ArkUI_NodeContentEvent,10,,未确认,P1,该行是C语言typedef声明，但声明末尾缺少分号，不符合C语言语法，复制并编译该代码时会产生语法错误。,,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent;,typedef struct ArkUI_NodeContentEvent ArkUI_NodeContentEvent,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档第10行是生成器展示的类型声明签名，不是独立示例代码；interface/native_node.h第13580行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_node.h第13580行为准。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,15,,未确认,P2,该类型级概述仅说明ArkUI_NodeContentHandle是Native侧的实例对象指针，没有说明该指针的基本用途，读者难以据此了解该类型在Native代码中的作用，功能描述不够完整。,,定义ArkUI_NodeContent在Native侧的实例对象指针，用于在Native代码中引用和传递ArkUI_NodeContent实例对象。,定义ArkUI_NodeContent在Native侧的实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,文档第15行原文仅说明ArkUI_NodeContentHandle是实例对象指针，未说明用途；interface/native_node.h第13598行将其作为回调注册对象传入，表明该类型用于在Native接口间引用和传递NodeContent实例。,将capi-arkui-nativemodule-arkui-nodecontent8h.md第15行补充为用于在Native接口中引用和传递NodeContent实例，并同步修改capi-native-type-h.md第48行汇总表。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,15,,未确认,P3,中文与英文术语“ArkUI_NodeContent”和“Native”之间均未添加空格，不符合中英文混排的格式一致性要求。,,定义 ArkUI_NodeContent 在 Native 侧的实例对象指针。,定义ArkUI_NodeContent在Native侧的实例对象指针。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,扫描建议与模板相反：zh-cn/contribute/template/README-template.md第40行明确规定英文字母和中文字之间不要有空格，问题原文的写法符合模板。,不按扫描建议增加空格；capi-arkui-nativemodule-arkui-nodecontent8h.md第15行按模板保持中英文之间无空格。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,10,,未确认,P1,该typedef声明末尾缺少C语言声明必需的分号，直接放入代码上下文会产生语法错误，无法通过编译。,,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle;,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第10行是生成器展示的类型声明签名；interface/native_type.h第93行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_type.h第93行为准。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodecontent8h.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodecontent8h.md,,ArkUI_NodeContent*,10,,未确认,P1,该 C 语言 typedef 声明末尾缺少分号，无法构成合法的类型定义声明，直接使用会导致编译错误。,,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle;,typedef struct ArkUI_NodeContent* ArkUI_NodeContentHandle,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档第10行是生成器展示的类型声明签名；interface/native_type.h第93行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_type.h第93行为准。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,,ArkUI_NodeBorderWidthOption,10,,未确认,P2,该 typedef 声明末尾缺少分号，不符合 C 语言声明语法，放入上下文后会产生编译错误。,,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption;,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第10行是生成器展示的类型声明签名；interface/native_render.h第127行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_render.h第127行为准。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderwidthoption.md,,ArkUI_NodeBorderWidthOption,10,,未确认,P1,该typedef声明末尾缺少分号，不符合C语言声明语法，按文档原文使用会导致编译错误。,,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption;,typedef struct ArkUI_NodeBorderWidth ArkUI_NodeBorderWidthOption,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档第10行是生成器展示的类型声明签名；interface/native_render.h第127行的实际C声明末尾已有分号。,无需修改文档，保留第10行生成格式，实际声明以interface/native_render.h第127行为准。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-nodeborderstyleoption.md,,ArkUI_NodeBorderStyleOption,15,,未确认,P2,该概述仅表明此类型是边框样式配置项，没有说明该配置项的具体用途，开发者无法从总体描述中明确其在节点边框设置中的作用，功能和使用场景描述不够完整。,,定义边框样式配置项，用于在设置节点边框时指定边框样式。,定义边框样式配置项。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,文档第15行原文仅说明其为边框样式配置项，未说明作用对象；ace_engine/interfaces/native/node/render_node.cpp第826至827行读取该配置项四个边的样式并设置到渲染节点。,将capi-arkui-nativemodule-arkui-nodeborderstyleoption.md第15行补充为用于为渲染节点的各边设置边框样式，并同步修改capi-native-render-h.md第40行汇总表。
