规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
12.1.2.6,若存在效率提升技巧、避免某些问题的开发建议或注意事项，检查文档中关于是否描述完整。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,getContext,getContext,19,,未确认,P2,第60行明确说明直接使用getContext可能导致UI上下文不明确，并建议先通过getUIContext()获取UIContext实例，再调用getHostContext。第23行在getContext方法中仅说明该接口已废弃并建议使用getHostContext替代，没有传递直接使用getContext可能导致UI上下文不明确的具体风险，导致上下文中已有的注意事项未在相关方法说明中完整体现。,,获取与页面上下文组件关联的Context对象。直接使用getContext可能导致UI上下文不明确，建议使用getUIContext()获取UIContext实例，并调用getHostContext获取绑定实例的Context。,获取与页面上下文组件关联的Context对象。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_6.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,文档第23行已给出带链接的替代接口getHostContext及获取UIContext实例的调用前提，第60行已说明直接使用getContext可能导致UI上下文不明确；相关风险和替代方案在同一API条目中完整呈现。,无需修改；保留文档第23行的废弃说明和第60行的注意事项。
12.1.3.1,若接口/函数已废弃且存在替代接口或方案，检查文档中按固定句式给出了替代接口和替代方案。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,getContext,getContext,23,,未确认,P3,废弃说明中的起始版本、废弃版本、替代接口、链接和使用说明均完整，但“建议使用getHostContext替代”未将替代接口名称直接写成规则要求的Markdown链接形式；链接被置于下一句，不符合“建议使用[新接口名称](链接)替代”的标准句式。,,> 从 API version 9开始支持，从API version 18开始废弃。建议使用[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)替代。使用getHostContext前，需先获取[UIContext](arkts-apis-uicontext-uicontext.md)实例对象。,> 从API version 9开始支持，从API version 18开始废弃，建议使用getHostContext替代。[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)需先获取[UIContext](arkts-apis-uicontext-uicontext.md)实例对象后再进行获取。,https://gitcode.com/BeicC/docs-prompt/blob/master/wait-for-confirm/deprecated_interface_check.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证废弃接口/函数需按模板中的固定句式给出替代接口或替代方案,否,文档第23行当前已按“建议使用[getHostContext](链接)替代”的形式书写，替代接口名称与链接位于同一句中，扫描内容已过期。,无需修改；保留文档第23行现有废弃说明。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,Context,getContext,60,,未确认,P1,“使用getHostContext调用绑定实例的getContext”没有准确表达方法与实例之间的调用关系，容易被理解为通过getHostContext调用另一个getContext方法，也无法明确“绑定实例”所修饰的对象。,,直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并调用该实例的[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)方法。,直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并使用[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)调用绑定实例的getContext。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,文档第60行当前表述为使用getHostContext获取绑定实例的Context，不再包含“调用绑定实例的getContext”；interface文件@ohos.arkui.UIContext.d.ts第5906行也定义getHostContext(): Context | undefined。,无需修改；保留文档第60行现有调用关系说明。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,getContext,getContext,23,,未确认,P2,“获取UIContext实例对象后再进行获取”重复使用“获取”，且“再进行获取”没有说明获取的具体对象，表述冗余并存在指代不清的问题。,,从API version 9开始支持，从API version 18开始废弃，建议使用[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)替代。调用getHostContext前，需先获取[UIContext](arkts-apis-uicontext-uicontext.md)实例。,从API version 9开始支持，从API version 18开始废弃，建议使用getHostContext替代。[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)需先获取[UIContext](arkts-apis-uicontext-uicontext.md)实例对象后再进行获取。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,文档第23行当前表述为“需先通过getUIContext()获取UIContext实例后再调用”，已明确调用对象，不存在“获取后再进行获取”的重复和指代不清。,无需修改；保留文档第23行现有表述。
0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,Context,getContext,60,,未确认,P2,该句前半部分推荐使用getHostContext替代getContext，末尾却表述为通过getHostContext“调用绑定实例的getContext”，混淆了两个接口的调用关系。实际应在获取UIContext实例后，调用该实例的getHostContext来取得宿主Context。,,> 直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并调用该实例的[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)获取宿主Context。,> 直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并使用[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)调用绑定实例的getContext。,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/terminology-consistency/SKILL.md,,,,,否,文档第60行已改为使用getHostContext获取绑定实例的Context，与@ohos.arkui.UIContext.d.ts第5906行getHostContext()返回Context的定义一致，不再描述为调用getContext。,无需修改；保留文档第60行现有表述。
0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,getContext,getContext,42,,未确认,P2,参数说明指出，在异步回调或调用起点不在当前页面等无法跟踪到Context实例的情况下，接口会返回undefined，但返回值表仅声明Context类型，未说明undefined这一可能结果，导致返回值类型及说明与上下文不一致。,,| [Context](#context) \| undefined | 返回当前组件所在Ability的Context；如果无法跟踪到对应的Context实例，则返回undefined。Context的具体类型为当前Ability关联的Context对象。例如：在UIAbility窗口中的页面调用该接口，返回类型为UIAbilityContext；在ExtensionAbility窗口中的页面调用该接口，返回类型为ExtensionContext。 |,| [Context](#context)  | 返回当前组件所在Ability的Context，Context的具体类型为当前Ability关联的Context对象。例如：在UIAbility窗口中的页面调用该接口，返回类型为UIAbilityContext。在ExtensionAbility窗口中的页面调用该接口，返回类型为ExtensionContext。    |,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/terminology-consistency/SKILL.md,,,,,否,interface文件common.d.ts第2166行定义getContext(component?: Object): Context；当前文档第36行参数说明未声称返回undefined，第42行返回类型Context与接口一致。,无需修改；保留文档第42行Context返回类型。
24.4.1.1,检查指南中示例代码包含异常处理逻辑（可以使用注释、打印日志说明处理逻辑），API参考的示例代码中无需添加异常处理逻辑，最佳实践中每个异常需要真实的处理逻辑。,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,Context,getContext,86,,未确认,P2,该异常日志使用hilog.error和单引号格式字符串，并通过JSON.stringify(err)序列化整个异常对象，没有按照规则使用console.error模板字符串显式输出err.code和err.message，违反异常日志输出规范。,,"        console.error(`Failed to load the content. Code: ${err.code}, message: ${err.message}`);","        hilog.error(0x0000, 'testTag', 'Failed to load the content. Cause: %{public}s', JSON.stringify(err) ?? '');",https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/24_4_1_1.md,体验,示例代码可用实用,示例代码实用性,验证示例代码提供必要的异常处理逻辑,否,文档第86行当前已使用console.error模板字符串显式输出err.code和err.message，扫描所述hilog.error代码已不存在。,无需修改；保留文档第86行现有异常日志。
0.30.1.3,检测 Markdown 文件中常识性错误检查,js-apis-getContext.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-getContext.md,Context,getContext,60,,未确认,P1,句中推荐使用的替代接口及其链接均指向 getHostContext，但句末又称通过该接口“调用绑定实例的getContext”，错误描述了接口调用关系，也与前文“建议使用getHostContext替代”不一致。getHostContext 本身是 UIContext 实例的方法，应表述为获取 UIContext 实例后调用其 getHostContext 方法。,,> 直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并调用该实例的[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)方法。,> 直接使用getContext可能导致[UI上下文不明确](../../ui/arkts-global-interface.md#ui上下文不明确)的问题，建议使用getUIContext()获取[UIContext](arkts-apis-uicontext-uicontext.md)实例，并使用[getHostContext](arkts-apis-uicontext-uicontext.md#gethostcontext12)调用绑定实例的getContext。,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/common-sense/SKILL.md,,,,,否,文档第60行当前明确说明使用getHostContext获取绑定实例的Context，不再存在通过getHostContext调用getContext的错误关系。,无需修改；保留文档第60行现有说明。
12.1.2.3,若方法/函数需要在满足某些条件才生效，或不生效，检查文档中关于生效机制描述是否完整。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,21,,未确认,P2,文档第15行已明确说明“本模块接口仅可在Stage模型下使用”，该条件适用于customProperty接口，但第21行的方法说明未提及这一适用模型限制，导致仅阅读方法章节的用户可能无法获得完整的使用条件。,,设置组件的自定义属性。该接口仅可在Stage模型下使用。,设置组件的自定义属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,customProperty方法条目第29行已按模板字段写明“模型约束：此接口仅可在Stage模型下使用”，无需在第21行功能描述中重复。,无需修改；保留文档第21行功能描述和第29行模型约束字段。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,ts-universal-attributes-custom-property.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/arkui-ts/ts-universal-attributes-custom-property.md,customProperty,,21,,未确认,P2,文档第15行明确说明“本模块接口仅可在Stage模型下使用”，该限制适用于customProperty接口，但第21行的方法说明未包含此环境要求。开发者独立查阅该方法说明时可能无法获知Stage模型限制，环境要求传递不完整。,,设置组件的自定义属性，该接口仅可在Stage模型下使用。,设置组件的自定义属性。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,customProperty方法条目第29行已明确Stage模型约束，且interface文件common.d.ts第19599行的@stagemodelonly已被准确下沉。,无需修改；保留文档第29行模型约束字段。
