规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,,,9,,未确认,P2,该模块级概述只说明了UI实例与窗口的关系、UI上下文的追踪原理及上下文追踪失败的后果，没有概括UIContext提供的总体能力及其能够解决的问题。读者无法通过文档开头的总述快速了解本模块可用于组件效果控制、节点冻结、资源管理和亮度取色等场景，模块功能与使用价值的说明不完整。,,在Stage模型中，WindowStage/Window可以通过loadContent接口加载页面并创建UI实例，并将页面内容渲染到关联窗口中，因此UI实例和窗口一一关联。UIContext用于访问与具体UI实例执行上下文相关的能力，包括控制组件显示效果和冻结状态、配置键盘样式、管理资源缓存、获取背景亮度取色对象以及回收不可见Image组件的图像内存资源。调用相关接口时会通过追溯调用链确定具体的UI实例；若在非UI页面或异步回调中无法跟踪到当前UI上下文，接口可能执行失败。,在Stage模型中，WindowStage/Window可以通过loadContent接口加载页面并创建UI的实例，并将页面内容渲染到关联的窗口中，所以UI实例和窗口是一一关联的。一些全局的UI接口是和具体UI实例的执行上下文相关的，在当前接口调用时，通过追溯调用链跟踪到UI的上下文，来确定具体的UI实例。若在非UI页面中或者一些异步回调中调用这类接口，可能无法跟踪到当前UI的上下文，导致接口执行失败。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,是,文档原第9-11行只说明UI实例、窗口和上下文追踪关系，未覆盖该文档第27-509行实际提供的组件压暗/冻结、键盘样式、资源缓存、亮度取色、图像内存回收和组件截图能力。,在js-apis-arkui-UIContext-sys.md第11行补充上述系统能力概述。
12.1.1.2,检查文档中清楚地说明了使用场景。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,getLuminanceSampler,UIContext,424,,未确认,P2,原句只列出了取色对象支持的操作，没有说明获取并监听目标组件背景亮度变化适用于何种处理需求；本节也仅引用其他接口的示例，未补充明确的使用场景。,,获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，通过该对象设置背景亮度取色参数、注册亮度变化监听回调、取消注册监听回调，适用于需要获取并监听目标组件背景亮度变化的场景。,获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，通过该对象设置背景亮度取色参数、注册亮度变化监听回调、取消注册监听回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_2.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,非本组,无需修改。
12.1.1.1,检查文档中关于方法/函数的含义/功能等信息描述是否完整，功能描述中若存在名词或概念不易理解或存在多义性，检查文档是否提供相关知识。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,getLuminanceSampler,UIContext,442,,未确认,P1,方法签名声明返回类型为LuminanceSampler或undefined，但返回值表只描述了LuminanceSampler，未说明undefined这一返回分支及其含义，导致返回值说明与方法签名不完整对应，也可能使开发者忽略必要的空值处理。,,| [LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md) \| undefined | 返回背景亮度取色器；未获取到取色器时返回undefined。 |,| [LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md) | 返回背景亮度取色器。 |,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_1_1.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的含义/功能、使用场景、使用效果提供完整,否,非本组,无需修改。
12.1.2.3,若方法/函数需要在满足某些条件才生效，或不生效，检查文档中关于生效机制描述是否完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,getLuminanceSampler,UIContext,424,,未确认,P2,UIContext章节第23行明确说明，相关API需先获取UIContext实例，再通过该实例调用。getLuminanceSampler方法自身未传递这一调用前提。,,获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，通过该对象设置背景亮度取色参数、注册亮度变化监听回调、取消注册监听回调。调用前需通过ohos.window中的getUIContext()方法或自定义组件内置的getUIContext()方法获取UIContext实例。,获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，通过该对象设置背景亮度取色参数、注册亮度变化监听回调、取消注册监听回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,非本组,无需修改。
12.1.2.3,若方法/函数需要在满足某些条件才生效，或不生效，检查文档中关于生效机制描述是否完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,194,,未确认,P2,UIContext章节第23行明确说明，相关API需先获取UIContext实例，再通过该实例调用。以uniqueId为参数的freezeUINode重载自身未说明这一调用前提。,,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。调用前需通过ohos.window中的getUIContext()方法或自定义组件内置的getUIContext()方法获取UIContext实例。,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,js-apis-arkui-UIContext-sys.md第25行已统一说明先获取UIContext实例再调用本节各freezeUINode重载，模板未要求在方法描述中重复。,无需修改。
12.1.2.3,若方法/函数需要在满足某些条件才生效，或不生效，检查文档中关于生效机制描述是否完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,74,,未确认,P2,UIContext章节第23行明确说明，相关API需先获取UIContext实例，再通过该实例调用。以id为参数的freezeUINode方法自身未说明这一调用前提。,,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。调用前需通过ohos.window中的getUIContext()方法或自定义组件内置的getUIContext()方法获取UIContext实例。,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_3.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,js-apis-arkui-UIContext-sys.md第25行已统一说明先获取UIContext实例再调用本节各freezeUINode重载，模板未要求在方法描述中重复。,无需修改。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,194,,未确认,P2,文档第15行已经声明本模块接口仅可在Stage模型下使用，但以uniqueId为参数的freezeUINode重载自身未说明该模型约束。虽然该重载与以id为参数的重载属于同一方法，但两个重载均未说明Stage模型要求，不存在其中一个已有说明、另一个缺失的信息不对称。,,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。该接口仅可在Stage模型下使用。,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,js-apis-arkui-UIContext-sys.md第202行已写明Stage模型约束，与@ohos.arkui.UIContext.d.ts第6226行一致。,无需修改。
12.1.2.4,若使用该方法/函数时对环境有要求，检查文档中关于环境的要求描述完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,74,,未确认,P2,文档第15行已经声明本模块接口仅可在Stage模型下使用，但以id为参数的freezeUINode重载自身未说明该模型约束。其他单独标注模型约束的UIContext方法与该冻结方法功能不同，不能据此认定为同类方法之间的信息不对称。,,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。该接口仅可在Stage模型下使用。,通过id设置组件冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_4.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,js-apis-arkui-UIContext-sys.md第80行已写明Stage模型约束，与@ohos.arkui.UIContext.d.ts第6211行一致。,无需修改。
12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,getLuminanceSampler,UIContext,424,,未确认,P3,UIContext章节开头已说明需要先获取UIContext实例，再调用对应方法，但getLuminanceSampler方法自身未提及获取UIContext实例这一前置操作。,,获取UIContext实例后，可通过该方法获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，并通过该对象设置背景亮度取色参数、注册亮度变化监听回调或取消注册监听回调。,获取[LuminanceSampler](arkts-apis-uicontext-luminancesampler-sys.md)取色对象，通过该对象设置背景亮度取色参数、注册亮度变化监听回调、取消注册监听回调。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_5.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,非本组,无需修改。
12.1.2.5,若使用该方法/函数时有前提条件/前置操作，检查文档中是否有关于调用该方法/函数的的前提条件、前置操作，内容是否包含完整。,js-apis-arkui-UIContext-sys.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/js-apis-arkui-UIContext-sys.md,freezeUINode,UIContext,194,,未确认,P3,UIContext章节开头已说明调用相关API前需先获取UIContext实例，但以uniqueId为参数的freezeUINode方法自身未说明这一前置操作。,,获取UIContext实例后，可通过该方法根据uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。,通过uniqueId设置组件的冻结状态，防止组件被标记为脏从而触发布局更新。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/12_1_2_5.md,体验,知识点完整,API接口/方法/参数/错误码/权限等完整,验证文档中关于方法/函数的使用建议、注意事项提供完整,否,js-apis-arkui-UIContext-sys.md第25行已统一说明先获取UIContext实例再调用本节各freezeUINode重载，模板未要求在方法描述中重复。,无需修改。
