规则编号,规则名称,文档名称,文档地址,API名称,所属父类,问题位置（行号）,备注,问题状态,严重程度,问题描述,备注,修改建议,问题原文,规则提示词,质量维度,一级指标,二级指标,评估内容（测试点）,是否是问题,原因,修改方案
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-systemfontstyleevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-systemfontstyleevent.md,,ArkUI_SystemFontStyleEvent,15,,未确认,P2,该概述仅说明这是系统字体样式变更事件的定义，没有说明该类型的总体用途、适用场景以及使用价值，无法帮助用户了解何时以及为何使用该类型，功能和场景描述不完整。,,ArkUI_SystemFontStyleEvent用于表示系统字体样式变更事件，适用于感知并响应系统字体样式变化的场景。,系统字体样式变更事件定义。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,文档第15行已说明该事件用于在系统字体大小或粗细变化时向回调传递事件信息；接口声明位于/home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h第644-649行，回调使用位于native_node.h第13963行，当前用途和场景完整。,无需修改，保留文档第15行现有概述。
23.1.1.1,示例代码片段根据提示进行配置，或进行少量修改，放入上下文可在IDE中可正常编译，无报错和告警（因示例代码片段缺少定义，若有对应注释说明可忽略），运行后结果与描述/示意图一致性，不能出现crash、界面白屏/黑屏现象。,capi-arkui-nativemodule-arkui-systemfontstyleevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-systemfontstyleevent.md,,ArkUI_SystemFontStyleEvent,10,,未确认,P1,该 typedef 声明末尾缺少 C 语言语法要求的分号，放入代码上下文后会产生语法错误，无法正常编译。此处没有注释说明该语法缺失可被忽略。,,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent;,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/23_1_1_1.md,质量,示例代码可用实用,示例代码可用性,验证文档中提供的示例代码片段语法和逻辑正确，编译运行无报错和告警,否,文档第9-10行是类型签名展示，不是可独立编译的示例；真实声明在/home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h第649行，末尾已有分号。,无需修改，保留文档第9-10行的C API类型页统一展示格式。
0.30.1.4,检测 Markdown 文件中代码注释和描述准确性问题、代码规范性检查。,capi-arkui-nativemodule-arkui-systemfontstyleevent.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-systemfontstyleevent.md,,ArkUI_SystemFontStyleEvent,10,,未确认,P1,该行是C语言typedef声明，声明末尾缺少必需的分号，无法构成合法的C声明。,,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent;,typedef struct ArkUI_SystemFontStyleEvent ArkUI_SystemFontStyleEvent,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/code-comments/SKILL.md,,,,,否,文档第10行省略分号属于类型页签名展示格式；可编译声明在/home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_type.h第649行，末尾分号完整。,无需修改，保留文档第10行；编译时以头文件第649行声明为准。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,15,,未确认,P2,概述仅说明该结构体用于定义组件转场时的缩放效果，未概括其可配置各轴缩放倍数和变换中心点的主要能力，也未说明其适用于定制组件转场缩放效果的场景，模块级功能和场景描述不够完整。,,定义组件转场时的缩放效果对象，可配置各轴的缩放倍数和变换中心点，适用于定制组件转场过程中的缩放效果。,定义组件转场时的缩放效果对象。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,非本组,无需修改，非本组。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,33,,未确认,P2,前后两句重复说明变换中心点的 y 轴坐标，存在信息冗余；变量 y、单位 vp 与中文之间也未留空格。可合并为一句并统一混排格式。,,组件变换中心点（即锚点）的 y 轴坐标，单位为 vp。,变换中心点y轴坐标。表示组件变换中心点（即锚点）的y方向坐标，单位为vp。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,无需修改，非本组。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,32,,未确认,P2,前后两句重复说明变换中心点的 x 轴坐标，存在信息冗余；变量 x、单位 vp 与中文之间也未留空格。可合并为一句并统一混排格式。,,组件变换中心点（即锚点）的 x 轴坐标，单位为 vp。,变换中心点x轴坐标。表示组件变换中心点（即锚点）的x方向坐标，单位为vp。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,无需修改，非本组。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,30,,未确认,P2,变量 y 与中文之间、比较表达式与中文之间均未留空格，混排格式不规范；“以y轴方向放大/缩小”搭配不当，应改为“沿 y 轴方向放大/缩小”。,,y 轴的缩放倍数。y > 1 时沿 y 轴方向放大，0 < y < 1 时沿 y 轴方向缩小，y = 0 时表示沿 y 轴方向缩小至 0，y = 1 时表示沿 y 轴方向的缩放倍数为 1，y < 0 时沿 y 轴反向并缩放。,y轴的缩放倍数。y>1时以y轴方向放大，0<y<1时以y轴方向缩小，y=0时表示在y轴方向缩小成0，y=1时表示在y轴方向缩放倍数是1，y<0时沿y轴反向并缩放。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,无需修改，非本组。
18.1.1.1,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,29,,未确认,P2,变量 x 与中文之间、比较表达式与中文之间均未留空格，混排格式不规范；“以x轴方向放大/缩小”搭配不当，应改为“沿 x 轴方向放大/缩小”。,,x 轴的缩放倍数。x > 1 时沿 x 轴方向放大，0 < x < 1 时沿 x 轴方向缩小，x = 0 时表示沿 x 轴方向缩小至 0，x = 1 时表示沿 x 轴方向的缩放倍数为 1，x < 0 时沿 x 轴反向并缩放。,x轴的缩放倍数。x>1时以x轴方向放大，0<x<1时以x轴方向缩小，x=0时表示在x轴方向缩小成0，x=1时表示在x轴方向缩放倍数是1，x<0时沿x轴反向并缩放。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/18_1_1_1.md,体验,内容规范性,文档语言符合规范,验证文档符合风格指南中对清晰、简洁、具体、一致等维度的规范要求,否,非本组,无需修改，非本组。
0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,33,,未确认,P2,前后两句均在说明组件变换中心点的y轴坐标，语义重复。可合并为一句，同时保留“锚点”释义和单位信息。,,| float centerY | 表示组件变换中心点（即锚点）的y轴坐标，单位为vp。 |,变换中心点y轴坐标。表示组件变换中心点（即锚点）的y方向坐标，单位为vp。,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/terminology-consistency/SKILL.md,,,,,否,非本组,无需修改，非本组。
0.30.1.2,检测 Markdown 文件中接口、参数等中英文一致性、描述准确性问题。,capi-arkui-nativemodule-arkui-scaleoptions.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-scaleoptions.md,,ArkUI_ScaleOptions,32,,未确认,P2,前后两句均在说明组件变换中心点的x轴坐标，语义重复。可合并为一句，同时保留“锚点”释义和单位信息。,,| float centerX | 表示组件变换中心点（即锚点）的x轴坐标，单位为vp。 |,变换中心点x轴坐标。表示组件变换中心点（即锚点）的x方向坐标，单位为vp。,https://gitcode.com/BeicC/docs-prompt/blob/feature_use_local_pr_information/agentic-workflow/skills/terminology-consistency/SKILL.md,,,,,否,非本组,无需修改，非本组。
11.1.1.1,检查文档中提供的功能场景、特点描述是否全面，能解决哪些问题以及带来的收益是否完整。,capi-arkui-nativemodule-arkui-roundrectshapeoption.md,https://gitcode.com/openharmony/docs/blob/master/zh-cn/application-dev/reference/apis-arkui/capi-arkui-nativemodule-arkui-roundrectshapeoption.md,,ArkUI_RoundRectShapeOption,15,,未确认,P2,该类型的概述仅说明其为圆角矩形形状配置项，未进一步说明配置项的总体用途和适用场景，开发者难以从概述中了解该类型可用于解决什么问题，功能场景描述不够完整。,,定义圆角矩形形状配置项，用于配置圆角矩形形状，以满足需要使用圆角矩形进行绘制的场景。,定义圆角矩形形状配置项。,https://gitcode.com/openharmony_docs_ai/docs_review_platform/blob/main/docs_prompt/11_1_1_1.md,体验,知识点完整,概念/功能/原理/场景描述完整,验证模块的定义、功能、使用场景、用法用途完整无缺失,否,文档第15行已说明该配置项用于配置圆角矩形，并可用于创建渲染节点遮罩或裁剪；对应接口用途见/home/y/openharmony/interface/sdk_c/arkui/ace_engine/native/native_render.h第1882-1913行及第1953-1958行。,无需修改，保留文档第15行现有概述。
